,Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min,partition,UC_Origin,UC_Dest,predict_proba,predict
4,10,7,6,1828,20,182,210,423,1.0,train,1646,1661,0.2824231,0
18,10,14,5,1704,16,267,258,689,1.0,train,1394,1392,0.2054131,0
21,6,21,3,1519,8,19,143,377,1.0,train,558,636,0.38033432,0
33,12,3,7,1653,8,19,205,317,1.0,train,558,674,0.2540845,0
35,3,24,4,2303,19,64,58,168,1.0,train,1542,1547,0.34531692,0
36,5,6,5,1728,20,249,269,480,1.0,train,1663,1680,0.37887105,0
50,9,9,6,1520,22,258,222,1107,1.0,train,1929,1922,0.15272763,0
58,9,5,2,1831,10,19,201,906,1.0,train,770,810,0.308951,0
72,6,6,2,1932,18,81,88,1123,1.0,train,1459,1469,0.33831328,0
75,12,14,4,1809,20,276,267,1156,0.0,train,1672,1679,0.5028341,1
77,10,6,5,2010,15,166,153,834,1.0,train,1202,1201,0.41029477,0
85,6,16,4,1345,20,243,218,444,1.0,train,1661,1665,0.34401327,0
87,3,12,7,1250,13,36,213,409,1.0,train,903,982,0.17252332,0
98,7,21,4,1046,20,249,264,417,1.0,train,1663,1678,0.2244473,0
101,2,3,5,1920,20,161,222,370,1.0,train,1640,1667,0.3806681,0
106,9,7,4,1922,3,258,16,1449,1.0,train,257,221,0.34709215,0
110,12,13,3,1953,22,154,138,228,1.0,train,1876,1879,0.28664964,0
119,12,15,4,1241,21,71,139,201,1.0,train,1706,1747,0.34534073,0
127,9,16,5,843,1,213,81,888,1.0,train,176,135,0.09693309,0
136,3,17,5,1657,5,222,139,1009,1.0,train,372,343,0.24087238,0
142,1,22,7,1954,7,19,121,306,1.0,train,443,474,0.27164632,0
143,6,10,6,1619,8,122,74,317,1.0,train,620,595,0.17299771,0
149,6,1,4,1942,7,19,138,533,1.0,train,443,481,0.36864668,0
152,7,13,3,1335,5,159,139,1222,1.0,train,348,343,0.21089847,0
164,10,28,5,1322,7,19,276,483,1.0,train,443,543,0.18523592,0
181,12,28,4,1753,20,132,152,359,1.0,train,1631,1647,0.44483376,0
185,6,29,4,2052,21,80,98,199,0.0,train,1712,1731,0.52541226,1
202,5,24,2,1058,1,189,166,1097,1.0,train,167,160,0.10863409,0
204,6,20,1,920,20,276,209,462,1.0,train,1672,1660,0.12940551,0
207,9,26,1,2050,14,182,201,349,1.0,train,1085,1095,0.20271948,0
208,1,12,3,633,7,38,19,946,1.0,train,449,440,0.035632502,0
209,10,14,6,850,1,289,82,237,1.0,train,203,136,0.06544228,0
211,1,8,7,1454,8,19,52,528,1.0,train,558,585,0.20771834,0
212,8,7,1,2037,1,82,218,1616,1.0,train,135,180,0.34220895,0
218,4,11,2,2141,16,213,184,491,1.0,train,1362,1349,0.34070498,0
219,4,8,6,725,15,250,74,1024,1.0,train,1235,1170,0.07165745,0
224,3,17,5,1815,14,222,201,1276,1.0,train,1105,1095,0.298012,0
228,12,23,5,1727,16,6,259,250,1.0,train,1259,1393,0.45292106,0
229,10,1,7,1337,4,154,217,1028,1.0,train,283,293,0.15378407,0
232,7,27,4,1323,20,221,180,861,1.0,train,1656,1655,0.31409845,0
242,7,18,2,1856,18,81,243,804,1.0,train,1459,1515,0.30311847,0
250,3,28,2,1656,18,213,226,412,1.0,train,1498,1510,0.30833736,0
267,6,29,4,1606,21,262,139,192,1.0,train,1798,1747,0.30771372,0
273,8,10,3,2255,8,19,164,303,0.0,train,558,648,0.57906944,1
281,8,13,7,1808,1,180,82,984,1.0,train,163,136,0.34343633,0
284,5,6,6,1401,20,207,218,543,1.0,train,1649,1665,0.18782423,0
298,8,15,2,1700,8,299,19,208,1.0,train,719,561,0.4820845,0
299,2,5,7,2040,19,221,259,2521,1.0,train,1584,1609,0.43228954,0
300,12,25,1,809,20,221,132,1335,1.0,train,1656,1641,0.15285704,0
308,6,16,4,1120,20,207,271,371,1.0,train,1649,1681,0.20520805,0
314,12,29,5,1500,14,88,286,983,1.0,train,1046,1134,0.41274866,0
326,1,11,2,1055,15,260,74,491,1.0,train,1240,1170,0.25907803,0
346,10,12,3,1724,18,81,269,910,1.0,train,1459,1525,0.2231084,0
348,12,28,3,943,8,19,251,215,1.0,train,558,701,0.3060282,0
349,11,17,4,1900,8,74,285,181,1.0,train,592,719,0.27746263,0
355,5,24,3,1208,18,264,81,948,1.0,train,1515,1466,0.15437417,0
380,12,8,5,724,19,138,222,1956,1.0,train,1555,1595,0.11060519,0
392,6,29,4,657,19,93,222,347,1.0,train,1548,1595,0.025920244,0
401,9,23,6,1533,15,74,22,275,1.0,train,1167,1145,0.24762438,0
409,8,31,3,1905,20,77,169,296,1.0,train,1625,1652,0.2706382,0
410,5,23,1,2055,15,88,74,229,1.0,train,1174,1170,0.17498581,0
413,5,17,2,1702,4,286,154,1005,1.0,train,312,284,0.21436824,0
415,11,18,6,1426,14,200,201,1013,1.0,train,1092,1095,0.19515453,0
428,11,13,1,746,10,153,19,270,1.0,train,793,776,0.0663555,0
443,3,16,4,1135,14,180,201,1310,1.0,train,1083,1095,0.17504504,0
444,8,15,1,855,15,166,64,544,1.0,train,1202,1165,0.115254246,0
461,5,7,7,1356,18,37,81,649,1.0,train,1446,1466,0.14877677,0
462,5,11,3,1344,9,81,178,533,1.0,train,733,751,0.124021664,0
473,4,30,7,1726,9,81,161,862,1.0,train,733,749,0.23337857,0
477,6,14,2,1846,8,10,19,500,0.0,train,554,561,0.6368784,1
479,2,23,4,1507,7,19,161,1946,1.0,train,443,491,0.2631301,0
481,12,27,2,1909,8,116,19,300,0.0,train,614,561,0.504944,1
485,7,7,4,2108,15,239,180,534,1.0,train,1230,1208,0.43854994,0
496,1,3,1,2338,12,159,19,1747,1.0,train,863,848,0.48957974,0
502,9,8,5,1705,20,159,264,386,1.0,train,1639,1678,0.33015066,0
508,10,16,7,1909,20,207,222,646,1.0,train,1649,1667,0.3719771,0
511,11,18,6,1035,8,19,190,669,1.0,train,558,664,0.27801475,0
